Wall time,Step,Value
1680759319.23644,0,3.4293360710144043
1680759321.306694,1,3.059934616088867
1680759323.338167,2,3.022096633911133
1680759325.381695,3,2.9984817504882812
1680759327.426601,4,2.9625115394592285
1680759329.472954,5,2.89717173576355
1680759331.515203,6,2.7747397422790527
1680759333.557282,7,2.63547420501709
1680759335.610918,8,2.5341126918792725
1680759337.659547,9,2.470148801803589
1680759339.704944,10,2.421682119369507
1680759341.752513,11,2.377429723739624
1680759343.796416,12,2.342686891555786
1680759345.868813,13,2.315258026123047
1680759347.884668,14,2.288864850997925
1680759349.933711,15,2.2623729705810547
1680759351.964386,16,2.236973762512207
1680759353.999368,17,2.2171387672424316
1680759356.049825,18,2.191699504852295
1680759358.091642,19,2.170116662979126
1680759360.130925,20,2.1444292068481445
1680759362.180572,21,2.121901273727417
1680759364.216284,22,2.1060783863067627
1680759366.272131,23,2.081937551498413
1680759368.29424,24,2.059267282485962
1680759370.330693,25,2.037187099456787
1680759372.383837,26,2.022294044494629
1680759374.396989,27,1.9993796348571777
1680759376.411899,28,1.9780542850494385
1680759378.450974,29,1.960222601890564
1680759380.503046,30,1.9411253929138184
1680759382.53802,31,1.925792932510376
1680759384.623988,32,1.908715844154358
1680759386.641244,33,1.8899271488189697
1680759388.705241,34,1.8718147277832031
1680759390.736099,35,1.8545397520065308
1680759392.750112,36,1.8408375978469849
1680759394.800532,37,1.8246448040008545
1680759396.815257,38,1.8071967363357544
1680759398.891874,39,1.793432354927063
1680759400.904353,40,1.7795556783676147
1680759402.955773,41,1.7621662616729736
1680759405.009458,42,1.7491579055786133
1680759407.097701,43,1.7304245233535767
1680759409.136393,44,1.7161130905151367
1680759411.164061,45,1.7016191482543945
1680759413.200884,46,1.6882277727127075
1680759415.212402,47,1.674442172050476
1680759417.235862,48,1.6601777076721191
1680759419.271293,49,1.646243691444397
1680759421.280478,50,1.6303539276123047
1680759423.342713,51,1.6150445938110352
1680759425.4036,52,1.6010664701461792
1680759427.462124,53,1.5906509160995483
1680759429.545446,54,1.5773719549179077
1680759431.595916,55,1.5632340908050537
1680759433.62613,56,1.5460771322250366
1680759435.639379,57,1.5335373878479004
1680759437.691044,58,1.5194090604782104
1680759439.703831,59,1.5040392875671387
